Band Number, Nominal Center Wavelength (int), Center Wavelength, Width (FWHM), Solar Irradiance, Rayleigh Optical Thickness, Depolarization Factor, k_oz (Ozone), k_no2 (NO2)
, nm, nm, nm, W/m^2/um/sr,,,,
  1, 443,     442.914,      15.963,    1894.746,   2.352E-01,   2.912E-02,   2.929E-03,   5.054E-19
  2, 482,     482.064,      60.073,    2004.869,   1.685E-01,   2.876E-02,   1.957E-02,   3.223E-19
  3, 561,     561.451,      57.379,    1820.121,   9.021E-02,   2.827E-02,   1.038E-01,   8.353E-20
  4, 655,     654.628,      37.491,    1550.348,   4.794E-02,   2.794E-02,   6.201E-02,   1.178E-20
  5, 865,     864.631,      28.185,     951.206,   1.551E-02,   2.757E-02,   2.223E-03,   3.310E-23
  6,1373,    1373.499,      20.384,     366.987,   2.410E-03,   2.730E-02,   0.000E+00,   0.000E+00
  7,1609,    1608.839,      84.664,     247.557,   1.284E-03,   2.726E-02,   0.000E+00,   0.000E+00
  8,2201,    2200.693,     186.721,      85.460,   3.697E-04,   2.720E-02,   0.000E+00,   0.000E+00
