Band Number, Nominal Center Wavelength (int), Center Wavelength, Width (FWHM), Solar Irradiance, Rayleigh Optical Thickness, Depolarization Factor, k_oz (Ozone), k_no2 (NO2)
, nm, nm, nm, W/m^2/um,,,,
 58, 679,     679.024,      10.001,    1478.491,   4.115E-02,   2.787E-02,   3.679E-02,   7.719E-21
 59, 685,     684.752,      10.001,    1464.816,   3.977E-02,   2.786E-02,   3.278E-02,   5.229E-21
 60, 690,     690.480,      10.001,    1460.066,   3.845E-02,   2.785E-02,   2.864E-02,   3.504E-21
 61, 696,     696.208,      10.000,    1448.542,   3.719E-02,   2.784E-02,   2.457E-02,   2.745E-21
 62, 702,     701.936,      10.001,    1432.740,   3.598E-02,   2.782E-02,   2.136E-02,   3.420E-21
 63, 708,     707.664,      10.001,    1409.761,   3.482E-02,   2.781E-02,   1.927E-02,   4.487E-21
 64, 713,     713.392,      10.000,    1379.851,   3.370E-02,   2.780E-02,   1.780E-02,   3.792E-21
 65, 719,     719.120,      10.001,    1358.496,   3.262E-02,   2.779E-02,   1.593E-02,   2.299E-21
 66, 725,     724.848,      10.001,    1341.436,   3.159E-02,   2.778E-02,   1.364E-02,   1.493E-21
 67, 731,     730.576,      10.001,    1323.335,   3.060E-02,   2.777E-02,   1.185E-02,   1.097E-21
 68, 736,     736.304,      10.000,    1300.802,   2.965E-02,   2.775E-02,   1.102E-02,   1.238E-21
 69, 742,     742.032,      10.001,    1281.438,   2.873E-02,   2.774E-02,   1.100E-02,   1.643E-21
 70, 748,     747.760,      20.000,    1275.914,   2.789E-02,   2.773E-02,   1.003E-02,   1.464E-21
 71, 753,     753.488,      20.000,    1265.167,   2.704E-02,   2.772E-02,   9.003E-03,   1.258E-21
 72, 759,     759.216,      20.000,    1252.195,   2.623E-02,   2.772E-02,   8.011E-03,   9.444E-22
 73, 765,     764.944,      20.001,    1234.757,   2.545E-02,   2.771E-02,   7.437E-03,   6.634E-22
 74, 771,     770.672,      20.000,    1212.875,   2.470E-02,   2.770E-02,   7.305E-03,   4.922E-22
 75, 776,     776.400,      20.000,    1189.186,   2.397E-02,   2.769E-02,   7.250E-03,   4.398E-22
 76, 782,     782.128,      20.000,    1167.509,   2.327E-02,   2.768E-02,   6.863E-03,   4.669E-22
